紀錄時間,分類,商品名稱,價格,商品網址
2026-03-03,家電數位,POLYWELL 寶利威爾 PD編織快充線 Type-C-Type-C PW15-W45-M804  2m  灰白色  1條,55,https://www.tw.coupang.com/products/POLYWELL-%E5%AF%B6%E5%88%A9%E5%A8%81%E7%88%BE-PD%E7%B7%A8%E7%B9%94%E5%BF%AB%E5%85%85%E7%B7%9A-Type-C-Type-C-PW15-W45-M804-491825643028487
2026-03-03,家電數位,Xiaomi 小米 米家毛球修剪器 安全吸取毛球 180分鐘超長續航力 適用各種衣物顏色  MQXJQ01KL  白色,84,https://www.tw.coupang.com/products/Xiaomi-%E5%B0%8F%E7%B1%B3-%E7%B1%B3%E5%AE%B6%E6%AF%9B%E7%90%83%E4%BF%AE%E5%89%AA%E5%99%A8-%E5%AE%89%E5%85%A8%E5%90%B8%E5%8F%96%E6%AF%9B%E7%90%83-180%E5%88%86%E9%90%98%E8%B6%85%E9%95%B7%E7%BA%8C%E8%88%AA%E5%8A%9B-%E9%81%A9%E7%94%A8%E5%90%84%E7%A8%AE%E8%A1%A3%E7%89%A9%E9%A1%8F%E8%89%B2-467832018026497
2026-03-03,家電數位,自帶線車充 雙線120W超級快充 車用充電器 汽車充電器 帶線汽車點煙器 USB車充  快充【伸縮線typec+蘋果】  BSMI 認證,214,https://www.tw.coupang.com/products/%E8%87%AA%E5%B8%B6%E7%B7%9A%E8%BB%8A%E5%85%85-%E9%9B%99%E7%B7%9A120W%E8%B6%85%E7%B4%9A%E5%BF%AB%E5%85%85-%E8%BB%8A%E7%94%A8%E5%85%85%E9%9B%BB%E5%99%A8-%E6%B1%BD%E8%BB%8A%E5%85%85%E9%9B%BB%E5%99%A8-%E5%B8%B6%E7%B7%9A%E6%B1%BD%E8%BB%8A%E9%BB%9E%E7%85%99%E5%99%A8-USB%E8%BB%8A%E5%85%85-623993283199058
2026-03-03,家電數位,Xiaomi 小米 電動鼻毛刀 Type-C充電 奈米抗菌塗層 刀頭不傷鼻腔  MJGHB1LF  黑色  1支,128,https://www.tw.coupang.com/products/Xiaomi-%E5%B0%8F%E7%B1%B3-%E9%9B%BB%E5%8B%95%E9%BC%BB%E6%AF%9B%E5%88%80-Type-C%E5%85%85%E9%9B%BB-%E5%A5%88%E7%B1%B3%E6%8A%97%E8%8F%8C%E5%A1%97%E5%B1%A4-%E5%88%80%E9%A0%AD%E4%B8%8D%E5%82%B7%E9%BC%BB%E8%85%94-611429291671567
2026-03-03,家電數位,120W多連接埠快速充電器，多USB接口，旅行便攜，廣泛相容  多口充電頭  1個  1吋,55,https://www.tw.coupang.com/products/120W%E5%A4%9A%E9%80%A3%E6%8E%A5%E5%9F%A0%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%99%A8%EF%BC%8C%E5%A4%9AUSB%E6%8E%A5%E5%8F%A3%EF%BC%8C%E6%97%85%E8%A1%8C%E4%BE%BF%E6%94%9C%EF%BC%8C%E5%BB%A3%E6%B3%9B%E7%9B%B8%E5%AE%B9-631776523190423
2026-03-03,家電數位,Apple 台灣公司貨 EarPods USB-C  MYQY3ZP/A  白色,355,https://www.tw.coupang.com/products/Apple-%E5%8F%B0%E7%81%A3%E5%85%AC%E5%8F%B8%E8%B2%A8-EarPods-USB-C-613534249271337
2026-03-03,家電數位,BON A2 雙面吸式車用支架  3個  白色,58,https://www.tw.coupang.com/products/BON-A2-%E9%9B%99%E9%9D%A2%E5%90%B8%E5%BC%8F%E8%BB%8A%E7%94%A8%E6%94%AF%E6%9E%B6-496084560363532
2026-03-03,家電數位,摺疊LED燈/摺疊檯燈 28 x 25cm 充電款 257g  白色,69,https://www.tw.coupang.com/products/%E6%91%BA%E7%96%8ALED%E7%87%88%2F%E6%91%BA%E7%96%8A%E6%AA%AF%E7%87%88-28-x-25cm-%E5%85%85%E9%9B%BB%E6%AC%BE-257g-484152134565897
2026-03-03,家電數位,UTA 沙龍級高效吹髮4段調溫高速吹風機 1400W 原廠保固  HD13  灰色,399,https://www.tw.coupang.com/products/UTA-%E6%B2%99%E9%BE%8D%E7%B4%9A%E9%AB%98%E6%95%88%E5%90%B9%E9%AB%AE4%E6%AE%B5%E8%AA%BF%E6%BA%AB%E9%AB%98%E9%80%9F%E5%90%B9%E9%A2%A8%E6%A9%9F-1400W-%E5%8E%9F%E5%BB%A0%E4%BF%9D%E5%9B%BA-532060460449793
2026-03-03,家電數位,多功能65W快充充電線，USB Type-C Lightning三合一通用充電線，手機平板快速充電  4合1快充線-白色  1個  1m,490,https://www.tw.coupang.com/products/%E5%A4%9A%E5%8A%9F%E8%83%BD65W%E5%BF%AB%E5%85%85%E5%85%85%E9%9B%BB%E7%B7%9A%EF%BC%8CUSB-Type-C-Lightning%E4%B8%89%E5%90%88%E4%B8%80%E9%80%9A%E7%94%A8%E5%85%85%E9%9B%BB%E7%B7%9A%EF%BC%8C%E6%89%8B%E6%A9%9F%E5%B9%B3%E6%9D%BF%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB-634020350001359
