紀錄時間,分類,商品名稱,價格,商品網址
2026-03-03,食品飲料,珍珍 燻烤魷魚絲  27g  1包,47,https://www.tw.coupang.com/products/%E7%8F%8D%E7%8F%8D-%E7%87%BB%E7%83%A4%E9%AD%B7%E9%AD%9A%E7%B5%B2-616490986225705
2026-03-03,食品飲料,黑松 FIN 補給飲料 補充水分及電解質 等滲透壓設計 低熱量  300ml  24入,70,https://www.tw.coupang.com/products/%E9%BB%91%E6%9D%BE-FIN-%E8%A3%9C%E7%B5%A6%E9%A3%B2%E6%96%99-%E8%A3%9C%E5%85%85%E6%B0%B4%E5%88%86%E5%8F%8A%E9%9B%BB%E8%A7%A3%E8%B3%AA-%E7%AD%89%E6%BB%B2%E9%80%8F%E5%A3%93%E8%A8%AD%E8%A8%88-%E4%BD%8E%E7%86%B1%E9%87%8F-159902047649792
2026-03-03,食品飲料,珍珍 鱈香魚片  40g  1包,490,https://www.tw.coupang.com/products/%E7%8F%8D%E7%8F%8D-%E9%B1%88%E9%A6%99%E9%AD%9A%E7%89%87-459248223862788
2026-03-03,食品飲料,統一 來一客 鮮蝦魚板風味杯麵 63g  12入,104,https://www.tw.coupang.com/products/%E7%B5%B1%E4%B8%80-%E4%BE%86%E4%B8%80%E5%AE%A2-%E9%AE%AE%E8%9D%A6%E9%AD%9A%E6%9D%BF%E9%A2%A8%E5%91%B3%E6%9D%AF%E9%BA%B5-63g-255151579283456
2026-03-03,食品飲料,Lay's 樂事 樂連連洋芋片限量熱銷組  60g  1組,51,https://www.tw.coupang.com/products/Lay%27s-%E6%A8%82%E4%BA%8B-%E6%A8%82%E9%80%A3%E9%80%A3%E6%B4%8B%E8%8A%8B%E7%89%87%E9%99%90%E9%87%8F%E7%86%B1%E9%8A%B7%E7%B5%84-636751575908392
2026-03-03,食品飲料,統一 麥香 紅茶  300ml  24入,86,https://www.tw.coupang.com/products/%E7%B5%B1%E4%B8%80-%E9%BA%A5%E9%A6%99-%E7%B4%85%E8%8C%B6-253771883986967
2026-03-03,食品飲料,義美 牛乳 保久乳 原味  125ml  24入,117,https://www.tw.coupang.com/products/%E7%BE%A9%E7%BE%8E-%E7%89%9B%E4%B9%B3-%E4%BF%9D%E4%B9%85%E4%B9%B3-%E5%8E%9F%E5%91%B3-260909050052612
2026-03-03,食品飲料,Knorr 康寶 濃湯 自然原味金黃玉米 2包  112.6g  1袋,75,https://www.tw.coupang.com/products/Knorr-%E5%BA%B7%E5%AF%B6-%E6%BF%83%E6%B9%AF-%E8%87%AA%E7%84%B6%E5%8E%9F%E5%91%B3%E9%87%91%E9%BB%83%E7%8E%89%E7%B1%B3-2%E5%8C%85-279083866882063
2026-03-03,食品飲料,LOTTE 樂天巧克力派 Set 6顆 蛋糕體扎實柔軟 口感豐富 內層夾入美味棉花糖 外層裹上香濃巧克力  168g  1盒,52,https://www.tw.coupang.com/products/LOTTE-%E6%A8%82%E5%A4%A9%E5%B7%A7%E5%85%8B%E5%8A%9B%E6%B4%BE-Set-6%E9%A1%86-%E8%9B%8B%E7%B3%95%E9%AB%94%E6%89%8E%E5%AF%A6%E6%9F%94%E8%BB%9F-%E5%8F%A3%E6%84%9F%E8%B1%90%E5%AF%8C-%E5%85%A7%E5%B1%A4%E5%A4%BE%E5%85%A5%E7%BE%8E%E5%91%B3%E6%A3%89%E8%8A%B1%E7%B3%96-%E5%A4%96%E5%B1%A4%E8%A3%B9%E4%B8%8A%E9%A6%99%E6%BF%83%E5%B7%A7%E5%85%8B%E5%8A%9B-276584275591176
2026-03-03,食品飲料,NONGSHIM 農心 辛拉麵 韓國境內版 120g  5包,50,https://www.tw.coupang.com/products/NONGSHIM-%E8%BE%B2%E5%BF%83-%E8%BE%9B%E6%8B%89%E9%BA%B5-%E9%9F%93%E5%9C%8B%E5%A2%83%E5%85%A7%E7%89%88-120g-281673572761600
